Rank,ASN,AS Name,CC,Users (est.),% of country,% of Internet,Samples
4696,AS263086,PBNET TELECOM,BR,25173,0.02,0.001,1277
4697,AS266350,KATER FIBRA TELECOMUNICACOES,BR,25153,0.02,0.001,1276
4698,AS41081,WN-AS,UA,25143,0.09,0.001,2699
4699,AS200810,CONECTA3,ES,25142,0.06,0.001,1113
4700,AS267832,VELONET SAS,CO,25128,0.07,0.001,2620
4701,AS56724,TINCO,RU,25118,0.02,0.001,805
4702,AS16044,IPORT IPORT LLC,UA,25115,0.09,0.001,2696
4703,AS270929,DINFO SERVICOS DE INTERNET LTDA - ME,BR,25114,0.02,0.001,1274
4704,AS9524,HMC-AS AutoEverSystems Corp.,KR,25105,0.05,0.001,3728
4705,AS50825,UVT,CZ,25105,0.29,0.001,1649
4706,AS328278,WiberSolutions-AS,ZA,25100,0.07,0.001,1615
4707,AS18046,DONGFONG-TW DongFong Technology Co. Ltd.,TW,25097,0.09,0.001,2568
4708,AS51273,AS-SKYNET-,UA,25097,0.09,0.001,2694
4709,AS18779,EGIHOSTING,US,25090,0.01,0.001,4413
4710,AS47656,AST-SYSTEMS-AS,RU,25087,0.02,0.001,804
4711,AS47217,PLANETEL-SPA,IT,25078,0.07,0.001,1547
4712,AS135776,INXSSINF-AS Inxssinfo Mkrt Ser Pvt Ltd.,IN,25062,0.0,0.001,3090
4713,AS25921,LUS-FIBER-LCG,US,25062,0.01,0.001,4408
4714,AS7131,PTIPACIFICAINC-AS-AP PTI Pacifica Inc.,MP,25055,79.15,0.001,6714
4715,AS51341,GCS-AS,RU,25055,0.02,0.001,803
4716,AS52544,Ivatel Redes e Internet LTDA,BR,25054,0.02,0.001,1271
4717,AS265592,KBLEX SA DE CV,MX,25051,0.03,0.001,3010
4718,AS12066,ALTICE DOMINICANA S.A.,DO,25041,0.32,0.001,7397
4719,AS262952,AIRLIFE COMUNICACAO VIRTUAL LTDA,BR,25035,0.02,0.001,1270
4720,AS395437,HIGHLANDTEL,US,25033,0.01,0.001,4403
4721,AS138596,VALLEY1-AS-AP Valley International,BD,25002,0.07,0.001,16158
4722,AS141271,KAYPOWERNET-AS-IN Kay Powernet Services Pvt Ltd,IN,24997,0.0,0.001,3082
4723,AS58912,CTSL-BD Chittagong Telecom Services Ltd,BD,24994,0.07,0.001,16153
4724,AS196638,PROMTELECOM-AS,RU,24993,0.02,0.001,801
4725,AS7676,"TAM TAM-Internet Service T.A.M Co., Ltd.",JP,24992,0.02,0.001,648
4726,AS25386,INTERTELECOM-AS,UA,24976,0.09,0.001,2681
4727,AS58593,"BLUECLOUD Shanghai Blue Cloud Technology Co.,Ltd",CN,24973,0.0,0.001,201
4728,AS138272,HI5MSPL-AS Hi5 Multimedia Services Pvt Ltd,IN,24972,0.0,0.001,3079
4729,AS8570,LES Public Data Network of Lipetsk region,RU,24962,0.02,0.001,800
4730,AS33796,BNAA-AS,DK,24956,0.44,0.001,934
4731,AS15763,ASDOKOM,DE,24951,0.04,0.001,1047
4732,AS265962,Wasat Telecom Ltda - Me,BR,24936,0.01,0.001,1265
4733,AS262409,CLICK82 SERVICOS DE COMUNICACAO EIRELI,BR,24936,0.01,0.001,1265
4734,AS41302,MART-AS,RU,24931,0.02,0.001,799
4735,AS48629,ICLIK,LB,24916,0.44,0.001,13008
4736,AS29013,LINKKREMEN-AS,UA,24901,0.09,0.001,2673
4737,AS29226,"MASTERTEL-AS Moscow, Russia",RU,24899,0.02,0.001,798
4738,AS28546,"Servnet Mexico, S.A. de C.V.",MX,24893,0.03,0.001,2991
4739,AS9927,PHILCOMNET-PH A Multihomed ISP Company,PH,24887,0.03,0.001,4445
4740,AS42235,IDC-AS Intra Data Communication,MZ,24878,0.31,0.001,691
4741,AS135212,DIGIWAY-AS-IN Digiway Net Pvt Ltd,IN,24875,0.0,0.001,3067
4742,AS269212,INSTALE TELECOM LTDA,BR,24857,0.01,0.001,1261
4743,AS9814,"FIBRLINK Beijing FibrLINK Networks Co.,Ltd.",CN,24848,0.0,0.001,200
4744,AS31261,"GARS-AS Moscow, Russia",RU,24837,0.02,0.001,796
4745,AS262635,MKVEX LTDA ME,BR,24818,0.01,0.001,1259
4746,AS52695,DURAES E CLEMENTINO TECNOLOGIA EM REDES LTDA.,BR,24818,0.01,0.001,1259
4747,AS265141,RBT Internet,BR,24798,0.01,0.001,1258
4748,AS263599,Globo Net Informatica,BR,24798,0.01,0.001,1258
4749,AS38096,"QRIXNETNW-AS-KR Qrixnowoncable, Inc.",KR,24789,0.05,0.001,3681
4750,AS59443,BAYNUR-AS,KZ,24780,0.16,0.001,1169
4751,AS45267,LIGHTWIRE-AS-AP Lightwire LTD,NZ,24779,0.55,0.001,2281
4752,AS264386,MMM E G TELECOMUNICACOES LTDA - ME,BR,24778,0.01,0.001,1257
4753,AS265215,FiberNet Telecom,BR,24778,0.01,0.001,1257
4754,AS51653,PRESNET-AS,SK,24763,0.53,0.001,1648
4755,AS59744,RU-CRIMEANET-AS,RU,24743,0.02,0.001,793
4756,AS37414,Microcom-Sprl,CD,24742,0.21,0.001,899
4757,AS263917,Nossarede Telecom LTDA ME,BR,24739,0.01,0.001,1255
4758,AS263668,NET4YOU INTERNET SOLUTION LTDA,BR,24739,0.01,0.001,1255
4759,AS136308,DEENET-AS Deenet Services Pvt Ltd,IN,24721,0.0,0.001,3048
4760,AS197722,TELECABLEANDALUCIA-AS,ES,24713,0.06,0.001,1094
4761,AS48475,OSKOLNET-AS,RU,24712,0.02,0.001,792
4762,AS43714,EPL-AS,RU,24712,0.02,0.001,792
4763,AS38172,IPSTAR-AS-AU IPSTAR Australia Pty Ltd.,AU,24708,0.11,0.001,1956
4764,AS396338,ALTIMA-TORONTO,CA,24704,0.07,0.001,2679
4765,AS59890,KABEL-TV-LAMPERT,AT,24703,0.29,0.001,730
4766,AS264042,VIRTUAL TELECOM LTDA - ME,BR,24700,0.01,0.001,1253
4767,AS263567,FIBER ONE DO BRASIL LTDA ME,BR,24700,0.01,0.001,1253
4768,AS264915,BURITINET BANDA LARGA,BR,24700,0.01,0.001,1253
4769,AS211413,SKY-KALAK-NET,IQ,24699,0.07,0.001,4287
4770,AS16628,DEDICATED-FIBER-COMMUNICATIONS,US,24692,0.01,0.001,4343
4771,AS134802,NAICCABLETVCORP-AS-AP Naic Cable TV Corp.,PH,24685,0.03,0.001,4409
4772,AS17936,"CTK Cable Television Kani Co.,Inc.",JP,24683,0.02,0.001,640
4773,AS52873,SOFTDADOS CONECTIVIDADE,BR,24680,0.01,0.001,1252
4774,AS50949,AGRONET-RU-AS,UA,24678,0.09,0.001,2649
4775,AS136287,FALCONET-AS-IN Falconet Internet Pvt.ltd.,IN,24664,0.0,0.001,3041
4776,AS34093,PLUSLINE-AS,CZ,24663,0.28,0.001,1620
4777,AS59888,MEGA-NET-COM-UA,UA,24659,0.09,0.001,2647
4778,AS204144,COMFORT-AS,UA,24659,0.09,0.001,2647
4779,AS49056,INEL-AS-,MK,24658,1.43,0.001,7990
4780,AS31127,SATRO,SK,24657,0.53,0.001,1641
4781,AS264275,ROLIM NET TECNOLOGIA LTDA,BR,24640,0.01,0.001,1250
4782,AS43258,CSO,UA,24622,0.09,0.001,2643
4783,AS14463,GRUPO TDKOM,BR,24621,0.01,0.001,1249
4784,AS25233,AWALNET-ASN,SA,24614,0.07,0.001,3447
4785,AS202293,D-CLOUD-AS,KZ,24610,0.16,0.001,1161
4786,AS140080,A1CYBERLINKBD-AS-AP A1 Cyberlink,BD,24603,0.07,0.001,15900
4787,AS16097,HLKOMM 04107 Leipzig,DE,24594,0.03,0.001,1032
4788,AS327725,UnitelSTP,ST,24587,33.08,0.001,780
4789,AS268085,Plusnetfoz Provedor de Internet Ltda -ME,BR,24581,0.01,0.001,1247
4790,AS42828,TOPNETLB-AS,LB,24569,0.44,0.001,12827
4791,AS268568,IMPLANTAR TELECOM SOCIEDADE LIMITADA,BR,24562,0.01,0.001,1246
4792,AS47883,KKTCELL-AS,CY,24553,2.26,0.001,5269
4793,AS202015,HZ-US-AS,US,24544,0.01,0.001,4317
4794,AS263935,I5 TELECOM,BR,24542,0.01,0.001,1245
4795,AS262756,NOVA FIBRA TELECOM S.A.,BR,24542,0.01,0.001,1245
4796,AS266716,CABLE VIDEO PERU SAC,PE,24532,0.13,0.001,2888
4797,AS3549,LVLT-3549,EC,24532,0.21,0.001,3539
4798,AS135554,LINK-AS-AP Link Line,BD,24524,0.07,0.001,15849
4799,AS265015,R&R Virtual Informatica,BR,24522,0.01,0.001,1244
4800,AS13335,CLOUDFLARENET,NL,24513,0.15,0.001,1465
4801,AS263244,Iperactive SA,AR,24506,0.06,0.001,3206
4802,AS9678,HOSTINGINSIDE-INTL HostingInside LTD.,TW,24491,0.09,0.001,2506
4803,AS61914,Roberto Keller - ME,BR,24483,0.01,0.001,1242
4804,AS43513,NANO-AS,LV,24477,1.55,0.001,4549
4805,AS28361,RR conect,BR,24463,0.01,0.001,1241
4806,AS12876,Online SAS,GB,24456,0.04,0.001,2582
4807,AS200814,GAZIKNET,UA,24454,0.09,0.001,2625
4808,AS11686,ENA,US,24453,0.01,0.001,4301
4809,AS267156,CONECTELL TELECOM,BR,24443,0.01,0.001,1240
4810,AS134883,WSNS-AS Wsns Pvt. Ltd.,IN,24437,0.0,0.001,3013
4811,AS202498,TINKOFFMOBILE-AS,RU,24431,0.02,0.001,783
4812,AS17806,MANGOTELESERVICE-AS-BD Tire-1 IP Transit Provider of Bangladesh,BD,24428,0.07,0.001,15787
4813,AS52772,SJNET TELECOMUNICACOES - EIRELI,BR,24404,0.01,0.001,1238
4814,AS264238,Link Net-Igarapava,BR,24404,0.01,0.001,1238
4815,AS264457,OXI TELECOMUNICACOES LTDA,BR,24404,0.01,0.001,1238
4816,AS269264,AJNS PROVEDOR DE INTENRET LTDA,BR,24384,0.01,0.001,1237
4817,AS327863,UNIVERSITY-OF-ZIMBABWE,ZW,24377,0.5,0.001,2618
4818,AS61403,SEVER-TELECOM-CHER,RU,24369,0.02,0.001,781
4819,AS20598,CYBERSPACE-AS Autonomous System number for Cyber Space,NG,24356,0.04,0.001,3268
4820,AS202913,CLOUDWIFI,ES,24351,0.06,0.001,1078
4821,AS393552,COL-LPC,US,24345,0.01,0.001,4282
4822,AS262834,REDECONESUL TELECOMUNICACOES LTDA,BR,24345,0.01,0.001,1235
4823,AS204731,FIBRENEST,GB,24314,0.04,0.001,2567
4824,AS201466,XTA-AS,ES,24306,0.06,0.001,1076
4825,AS30432,STRATA-NETWORKS,US,24300,0.01,0.001,4274
4826,AS41771,MTS-BB-OMSK,RU,24275,0.02,0.001,778
4827,AS265329,B.B. NET UP EIRELI -ME,BR,24266,0.01,0.001,1231
4828,AS23629,"OCTV Obihiro City Cable Co.,Ltd.",JP,24259,0.02,0.001,629
4829,AS3598,MICROSOFT-CORP-AS,JP,24259,0.02,0.001,629
4830,AS137678,PDNPL-AS Protoact Digital Network Pvt. Ltd.,IN,24259,0.0,0.001,2991
4831,AS22408,WKNET,US,24254,0.01,0.001,4266
4832,AS264487,SpeedBOL Ultra Banda Larga,BR,24246,0.01,0.001,1230
4833,AS269595,VGRNET INFORMATICA LTDA,BR,24246,0.01,0.001,1230
4834,AS263632,Intersete Telecom limitada - ME,BR,24246,0.01,0.001,1230
4835,AS48149,ITKM-AS,RU,24244,0.02,0.001,777
4836,AS24259,BC9 kanuma cable television Corporation,JP,24220,0.02,0.001,628
4837,AS2108,"CARNET-AS J.Marohnica 5, 10000 Zagreb",HR,24216,0.96,0.001,17401
4838,AS13155,MTS-IRK-AS,RU,24213,0.02,0.001,776
4839,AS200000,UKRAINE-AS,UA,24212,0.08,0.001,2599
4840,AS61668,Mr. Ynet Network Informatica Ltda,BR,24207,0.01,0.001,1228
4841,AS264932,STAYNET SERVICOS DE INTERNET LTDA - ME,BR,24207,0.01,0.001,1228
4842,AS267590,FIBRATECH INTERNET DE ALTA VELOCIDADE LTDA ME,BR,24187,0.01,0.001,1227
4843,AS52829,NEWLINE TELECOM,BR,24187,0.01,0.001,1227
4844,AS267521,Goncalves Informatica e Telecomunicacoes,BR,24187,0.01,0.001,1227
4845,AS8788,"ADAMANT Kyiv, Ukraine",UA,24184,0.08,0.001,2596
4846,AS12727,"VIALIS Colmar, France",FR,24178,0.04,0.001,1281
4847,AS267857,INTEGRA MULTISOLUTIONS S.A.S.,CO,24178,0.07,0.001,2521
4848,AS205800,STEPS-TELECOM-AS,IQ,24175,0.07,0.001,4196
4849,AS9009,M247,AU,24164,0.11,0.001,1913
4850,AS205016,HERNLABS,US,24163,0.01,0.001,4250
4851,AS23778,"CANET IMIZU CABLE NETWORK CO.,LTD.",JP,24143,0.02,0.001,626
4852,AS9136,WOBCOM,DE,24141,0.03,0.001,1013
4853,AS11727,BMTS,CA,24132,0.07,0.001,2617
4854,AS270868,IP TELECOM E SISTEMAS LTDA,BR,24128,0.01,0.001,1224
4855,AS198605,AVAST-AS-DC,US,24106,0.01,0.001,4240
4856,AS26133,FEWPB,US,24089,0.01,0.001,4237
4857,AS51477,TKANDALAKSHA-AS,RU,24088,0.02,0.001,772
4858,AS50633,NET-CITY-AS,UA,24081,0.08,0.001,2585
4859,AS49544,I3DNET,NL,24078,0.15,0.001,1439
4860,AS263349,Rapeedo Ltda,BR,24069,0.01,0.001,1221
4861,AS263049,NIPPONTEC TELECOMUNICACOES,BR,24069,0.01,0.001,1221
4862,AS207044,ENET-AS,IE,24063,0.57,0.001,4627
4863,AS29066,VELIANET-AS velia.net Internetdienste GmbH,US,24061,0.01,0.001,4232
4864,AS48917,OPTINETYAMBOL,BG,24058,0.49,0.001,8470
4865,AS42916,IT-AS,RU,24057,0.02,0.001,771
4866,AS50780,ISP-EASTNET-AS,UA,24053,0.08,0.001,2582
4867,AS16178,LOGOSOFT-AS Logosoft d.o.o.,BA,24052,0.84,0.001,21738
4868,AS267335,MUNDIAL TELECOMUNICACAO LTDA - ME,BR,24029,0.01,0.001,1219
4869,AS268707,4WNET ES TELECOMUNICACOES EIRELE ME,BR,24029,0.01,0.001,1219
4870,AS48574,ASN-CZ-PLANET-A-48574,CZ,24024,0.27,0.001,1578
4871,AS28431,RAUL DUARTE URITA,MX,24019,0.03,0.001,2886
4872,AS62044,ZSCALER-EMEA,BE,24013,0.23,0.001,938
4873,AS28213,LCI Equipamentos de Informatica LTDA - LCI Telecom,BR,24010,0.01,0.001,1218
4874,AS52690,"VIA PERSONAL TECNOLOGIA, INFORMACAO E COMUNICACAO",BR,24010,0.01,0.001,1218
4875,AS137432,BKBNET-AS-AP BKB Network,BD,23996,0.07,0.001,15508
4876,AS17958,"KCV Kasaoka Cable Vision Co,LTD.",JP,23989,0.02,0.001,622
4877,AS10002,"ICT IGAUENO CABLE TELEVISION CO.,LTD",JP,23989,0.02,0.001,622
4878,AS136009,SPEEDNET-AS-AP SpeedNet,BD,23989,0.07,0.001,15503
4879,AS132280,SYMPHONY-AP-TH Symphony Communication Thailand PCL.,TH,23979,0.05,0.001,4484
4880,AS12693,"EDISCOM Am Kanal 4a, 14467 Potsdam",DE,23974,0.03,0.001,1006
4881,AS266435,THE FIBER INTERNET BANDA LARGA,BR,23970,0.01,0.001,1216
4882,AS133226,VISIONSMARTLINK-AS-IN VISION SMARTLINK NETWORKING PRIVATE LIMITED,IN,23967,0.0,0.001,2955
4883,AS56224,PRISAC-AS-AP PRISAC AVIATION TECHNOLOGIES PRIVATE LIMITED,IN,23958,0.0,0.001,2954
4884,AS135124,GSC-AS-AP Green Surma Communications,BD,23952,0.07,0.001,15479
4885,AS52878,REDE DE TELECOMUNICACOES CARAJAS LTDA,BR,23950,0.01,0.001,1215
4886,AS52660,e.serv informatica e tecnologia ltda.,BR,23950,0.01,0.001,1215
4887,AS207558,EXPRES,UA,23904,0.08,0.001,2566
4888,AS48858,MILECOM-AS,RU,23901,0.02,0.001,766
4889,AS28225,Provedornet Telecom. e Servicos de Internet Ltda,BR,23891,0.01,0.001,1212
4890,AS17494,BTTB-AS-AP Telecom Operator & Internet Service Provider as well,BD,23888,0.07,0.001,15438
4891,AS206283,YAHSAT-FRANKFURT,ZA,23888,0.07,0.001,1537
4892,AS16700,ROSENET-1,US,23885,0.01,0.001,4201
4893,AS37276,VOFFICE,ZA,23872,0.07,0.001,1536
4894,AS28165,Wireless Comm Services LTDA,BR,23872,0.01,0.001,1211
4895,AS202297,SKYLON SKYLON,CZ,23871,0.27,0.001,1568
4896,AS9142,Commercial ISP,GB,23869,0.04,0.001,2520
4897,AS14265,US-TELEPACIFIC,US,23868,0.01,0.001,4198
4898,AS197637,ROPA ropa digital systems,DE,23855,0.03,0.001,1001
4899,AS328781,Lida-Mass-Link-AS,KE,23847,0.23,0.001,10658
4900,AS48422,IT-STARCOM-AS www.itstarcom.net,UA,23839,0.08,0.001,2559
4901,AS199524,GCORE,PL,23837,0.08,0.001,1339
4902,AS211970,TARIK-ALTHURAYA,IQ,23823,0.07,0.001,4135
4903,AS136787,TEFINCOMSA-AS-AP TEFINCOM S.A.,US,23822,0.01,0.001,4190
4904,AS24945,ASN-VNTP,UA,23821,0.08,0.001,2557
4905,AS136027,SSALIANDCO-AS-AP Sheikh Shahnawaz Ahmed,BD,23818,0.07,0.001,15393
4906,AS263671,MINAS INFO LTDA-ME,BR,23812,0.01,0.001,1208
4907,AS6704,CITYLAN-AS,RU,23807,0.02,0.001,763
4908,AS265462,wellington eustaquio da silva - me,BR,23793,0.01,0.001,1207
4909,AS3549,LVLT-3549,CL,23778,0.14,0.001,1388
4910,AS264260,G L Servicos e com. de informatica LTDA.,BR,23773,0.01,0.001,1206
4911,AS52850,Oxente.net Solucoes Tecnologicas Eireli,BR,23773,0.01,0.001,1206
4912,AS28708,ORANGEFR-PORTAL-AS DSI mutualized internet access,FR,23763,0.04,0.001,1259
4913,AS269128,Leilane de Vasconcelos Pereira,BR,23753,0.01,0.001,1205
4914,AS266440,ACCESS NET EIRELI- ME,BR,23753,0.01,0.001,1205
4915,AS31939,GM-ATL,US,23748,0.01,0.001,4177
4916,AS133480,INTERGRID-AS-AP Intergrid Group Pty Ltd,AU,23735,0.11,0.001,1879
4917,AS52781,Pertec Servicos de Telecomunicacoes ltda,BR,23734,0.01,0.001,1204
4918,AS269804,SEPCOM COMUNICACIONES SAS,CO,23718,0.07,0.001,2473
4919,AS267456,OCARANET TELECOM,BR,23714,0.01,0.001,1203
4920,AS52824,M.J. VENTURA LTDA,BR,23714,0.01,0.001,1203
4921,AS23033,WOW,US,23714,0.01,0.001,4171
4922,AS139825,HM1-AS-AP HM Enterprise,BD,23698,0.07,0.001,15315
4923,AS131293,TOT-LLI-AS-AP TOT Public Company Limited,TH,23696,0.05,0.001,4431
4924,AS50564,ELECTRONICAMARTINEZ-AS,ES,23696,0.06,0.001,1049
4925,AS2504,NCA5 Kyoto University,JP,23680,0.02,0.001,614
4926,AS262596,JUNTO TELECOM SERVICOS DE TELECOMUNICACOES LTDA,BR,23655,0.01,0.001,1200
4927,AS270429,Telemulti Fiber Ltda.,BR,23655,0.01,0.001,1200
4928,AS203716,AS-SDS,UA,23653,0.08,0.001,2539
4929,AS29684,NOURNET-ASN,SA,23636,0.07,0.001,3310
4930,AS49044,DIGI,SK,23636,0.51,0.001,1573
4931,AS18988,CITYWEST-CORP,CA,23634,0.06,0.001,2563
4932,AS35908,VPLSNET,US,23634,0.01,0.001,4157
4933,AS52286,Columbus Networks Guatemala,GT,23605,0.25,0.001,1835
4934,AS52268,COPELCO LTDA. CUTRAL-CO,AR,23604,0.06,0.001,3088
4935,AS45355,DIGICELPACIFIC-1-AP Digicel Fiji Limited,VU,23593,26.45,0.001,2388
4936,AS42922,KASPNET-AS,RU,23589,0.02,0.001,756
4937,AS34351,MTS-IVANOVO-AS,RU,23589,0.02,0.001,756
4938,AS18859,GVEC-NET,US,23589,0.01,0.001,4149
4939,AS56370,ASINTTEL,UA,23588,0.08,0.001,2532
4940,AS53435,JACKSONENERGY-EPL,US,23572,0.01,0.001,4146
4941,AS197524,CCNST-AS,DE,23569,0.03,0.001,989
4942,AS42905,LIMANET LTD LIMANET,UA,23560,0.08,0.001,2529
4943,AS35608,RLINE1-AS,RU,23558,0.02,0.001,755
4944,AS263631,Via Link Telecomunicacoes,BR,23556,0.01,0.001,1195
4945,AS202914,ADEODC,DK,23539,0.42,0.001,881
4946,AS206666,MULTIMEDIA-NET,MK,23538,1.36,0.001,7627
4947,AS263102,R A DIAS SANTOS PROVEDOR DE INTERNET,BR,23537,0.01,0.001,1194
4948,AS50577,INTELSC-AS,RU,23526,0.02,0.001,754
4949,AS263474,VerdeNET Fibra Optica,BR,23517,0.01,0.001,1193
4950,AS40237,UNITED-TELEPHONE,US,23509,0.01,0.001,4135
4951,AS29491,KIEVLINE,UA,23504,0.08,0.001,2523
4952,AS37381,VIPNET,CI,23498,0.18,0.001,1331
4953,AS267552,Turbonet Telecom Ltda ME,BR,23497,0.01,0.001,1192
4954,AS262700,Vero Internet,BR,23497,0.01,0.001,1192
4955,AS61805,Emex Internet,BR,23497,0.01,0.001,1192
4956,AS268943,Veloxnet Internet de Alta Velocidade LTDA - M.E,BR,23497,0.01,0.001,1192
4957,AS37614,STOI-AS,YT,23485,15.65,0.001,383
4958,AS267815,SERVI CABLE S.A.C,PE,23470,0.13,0.001,2763
4959,AS136783,NETCORE-AS-AP Spectrum Life Company Limited,MM,23469,0.11,0.001,4203
4960,AS30612,EAGLE-9-AS,US,23464,0.01,0.001,4127
4961,AS262549,CELINET INFORMATICA LTDA-ME,BR,23458,0.01,0.001,1190
4962,AS53170,Cabangu Internet Ltda,BR,23458,0.01,0.001,1190
4963,AS206262,TELKOS,RS,23455,0.35,0.001,7815
4964,AS63526,SSDTL-BD Systems Solutions & development Technologies Limited,SG,23453,0.46,0.001,8738
4965,AS23780,CTB CTB Media Inc.,JP,23449,0.02,0.001,608
4966,AS38673,KCTVNET-AS-KR Korea Cable TV Kwangju Broadcasting,KR,23448,0.05,0.001,3482
4967,AS270963,Fernando Martins Reis,BR,23438,0.01,0.001,1189
4968,AS328320,Kurlec-AS,ZA,23437,0.07,0.001,1508
4969,AS59574,AS-STUPINO-NET,RU,23433,0.02,0.001,751
4970,AS206920,DK-GLENTEVEJSANTENNELAUG,DK,23433,0.41,0.001,877
4971,AS42892,LOFIS-AS,RU,23433,0.02,0.001,751
4972,AS42848,EC-AS,BE,23424,0.22,0.001,915
4973,AS133680,SOFTECHINFOSOL-AS SOFTECH INFOSOL PVT. LTD.,IN,23423,0.0,0.001,2888
4974,AS12231,CONWAYCORP,US,23418,0.01,0.001,4119
4975,AS27789,GREENDOT,TT,23417,1.96,0.001,14052
4976,AS41631,"SOBORKA-AS Odessa, Ukraine",UA,23401,0.08,0.001,2512
4977,AS2152,CSUNET-NW,US,23390,0.01,0.001,4114
4978,AS36902,ASINTELVISION,SC,23386,37.54,0.001,19637
4979,AS267578,WILLIAN MENDES DE OLIVEIRA ME,BR,23379,0.01,0.001,1186
4980,AS12555,IMAQLIQ iqdata.center,RU,23370,0.02,0.001,749
4981,AS35004,NETGRUP,UA,23364,0.08,0.001,2508
4982,AS52944,MEGALINK TELECOMUNICACOES LTDA ME,BR,23359,0.01,0.001,1185
4983,AS55461,"SUNINFO-MDC Beijing Sun Rise Technology CO.,LTD",CN,23357,0.0,0.001,188
4984,AS48438,CORBINA-AS,UA,23355,0.08,0.001,2507
4985,AS265799,EXPERTSERVI S.A.,EC,23354,0.2,0.001,3369
4986,AS263042,DELTA TELECOM,BR,23320,0.01,0.001,1183
4987,AS62040,ITK-AS,RU,23308,0.02,0.001,747
4988,AS53050,Super Cabo TV Caratinga Ltda,BR,23300,0.01,0.001,1182
4989,AS53231,GRUPOHOST COMUNICACAO MULTIMIDIA LTDA,BR,23300,0.01,0.001,1182
4990,AS269466,W da S Paixao,BR,23280,0.01,0.001,1181
4991,AS25227,"ASN-AVANTEL-MSK Located in Moscow, Russia.",RU,23277,0.02,0.001,746
4992,AS8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",US,23276,0.01,0.001,4094
4993,AS37209,HYPERIA,NG,23267,0.04,0.001,3122
4994,AS263040,HYPER TELECOM,BR,23261,0.01,0.001,1180
4995,AS47513,SKYLINE-UA-AS ISP Skyline,UA,23252,0.08,0.001,2496
4996,AS44124,RYBNET-AS,PL,23249,0.07,0.001,1306
4997,AS203704,ASVIDEOCAM,ES,23244,0.05,0.001,1029
4998,AS202441,MTSDOO-AS,RS,23224,0.35,0.001,7738
4999,AS270237,Mult3 Telecom,BR,23221,0.01,0.001,1178
5000,AS197433,TK-ORION-AS,UA,23215,0.08,0.001,2492
5001,AS2854,ROSPRINT-AS,RU,23214,0.02,0.001,744
5002,AS37150,XISASN,ZA,23204,0.06,0.001,1493
5003,AS51133,MEDIAGRAND-AS,RU,23183,0.02,0.001,743
5004,AS47321,IIF-AS,RU,23183,0.02,0.001,743
5005,AS61901,RMR Assessoria Tecnica em Teleinformatica LTDA-ME,BR,23182,0.01,0.001,1176
5006,AS267378,CWMC TELECOM LTDA ME,BR,23182,0.01,0.001,1176
5007,AS263443,L R DA FONSECA ME,BR,23182,0.01,0.001,1176
5008,AS62651,NETPROTECT-62651,AT,23180,0.28,0.001,685
5009,AS263681,IPTP NETWORKS S.A.C.,PE,23173,0.13,0.001,2728
5010,AS56515,OXYNET-AS,PL,23160,0.07,0.001,1301
5011,AS11979,BLUENET,US,23157,0.01,0.001,4073
5012,AS207830,LIMNET,UA,23140,0.08,0.001,2484
5013,AS9848,SEJONGTELECOM-AS-KR Sejong Telecom,KR,23139,0.05,0.001,3436
5014,AS137163,QUALITY-AS-IN Quality Broadband Pvt Ltd,IN,23139,0.0,0.001,2853
5015,AS204811,ZINNIA,ES,23131,0.05,0.001,1024
5016,AS269615,DELTA TELECOM,BR,23123,0.01,0.001,1173
5017,AS28229,HARDONLINE LTDA,BR,23103,0.01,0.001,1172
5018,AS196767,INMART1-AS,UA,23094,0.08,0.001,2479
5019,AS137443,ANCHGLOBAL-AS-AP Anchnet Asia Limited,DE,23092,0.03,0.001,969
5020,AS205544,LEASEWEB-UK-LON-11,GB,23092,0.04,0.001,2438
5021,AS203451,K-TELECOM-NETWORK,RU,23090,0.02,0.001,740
5022,AS269797,LOCH TEL SRL GOLOCHTEL,BO,23063,0.38,0.001,16528
5023,AS265897,FNET TECNOLOGIA EIRELI ME,BR,23063,0.01,0.001,1170
5024,AS15868,NALTEL-AS,RU,23058,0.02,0.001,739
5025,AS34383,TELOISE-AS,FR,23027,0.04,0.001,1220
5026,AS43022,"UA-SEECH Zaporozhye, Lenina av. 170b",UA,23010,0.08,0.001,2470
5027,AS265705,HUGHES DE COLOMBIA S.A.S.,CL,23007,0.14,0.001,1343
5028,AS134177,RBPL-IN Rural Broadband Pvt. Ltd,IN,22993,0.0,0.001,2835
5029,AS266809,"NERVICOM, C.A.",VE,22978,0.12,0.001,2422
5030,AS205048,AHREMENKO-AS,UA,22973,0.08,0.001,2466
5031,AS41360,NEOCOM-,UA,22963,0.08,0.001,2465
5032,AS138551,SKYINFOONLINE-AS-AP Skyinfo Online,BD,22960,0.07,0.001,14838
5033,AS327984,Fibre-Stream-AS,ZA,22955,0.06,0.001,1477
5034,AS34705,SYDFYN,DK,22952,0.41,0.001,859
5035,AS133800,IDNIC-BIZNETGIO-AS-ID PT Biznet Gio Nusantara,ID,22948,0.02,0.001,4046
5036,AS27987,NODOCOOP Federacion de Cooperativas Ltda.,AR,22947,0.06,0.001,3002
5037,AS9821,DOST-PH-AP Department of Science and Technology,PH,22944,0.03,0.001,4098
5038,AS264619,Wireless Provider,AR,22939,0.06,0.001,3001
